(1) Medicine & dentistry,53440,52365,52235,52015,52885
(2) Subjects allied to medicine,224550,226715,233675,237615,233525
(3) Biological sciences,167840,169900,176195,183610,189270
(4) Veterinary science,4395,4350,5255,5600,6310
(5) Agriculture & related subjects,14740,15355,15090,14600,14550
(6) Physical sciences,75165,75255,75680,75810,76320
(7) Mathematical sciences,36335,36190,36575,37355,37730
(8) Computer science,72210,73355,76125,79905,84665
(9) Engineering & technology,125925,127050,129465,130685,130560
"(A) Architecture, building & planning",40280,39230,40190,41760,43720
(B) Social studies,175820,173380,178305,185455,191935
(C) Law,74720,73425,74210,74920,76995
(D) Business & administrative studies,274290,266035,269120,276860,286975
(E) Mass communications & documentation,42955,42045,42880,43655,44570
(F) Languages,95315,90465,87820,86070,81905
(G) Historical & philosophical studies,72660,69750,68770,68390,66895
(H) Creative arts & design,146405,144610,147185,152940,155635
(I) Education,139870,131910,124390,119440,114945
(J) Combined,38220,32605,28170,25305,22560
