Region,Valid_Votes,Remain,Leave,Pct_Remain,Pct_Leave
East,3328983,1448616,1880367,0.4351527178120165,0.5648472821879835
East Midlands,2508515,1033036,1475479,0.4118117691143964,0.5881882308856037
London,3776751,2263519,1513232,0.5993296884014858,0.4006703115985142
North East,1340698,562595,778103,0.41962843235389324,0.5803715676461068
North West,3665945,1699020,1966925,0.46346030832432017,0.5365396916756798
Northern Ireland,790149,440707,349442,0.557751765806196,0.44224823419380394
Scotland,2679513,1661191,1018322,0.6199600449783226,0.3800399550216774
South East,4959683,2391718,2567965,0.48223202974867546,0.5177679702513245
South West,3172730,1503019,1669711,0.47373050968724095,0.526269490312759
Wales,1626919,772347,854572,0.4747298421126067,0.5252701578873933
West Midlands,2962862,1207175,1755687,0.40743544586281777,0.5925645541371822
Yorkshire and The Humber,2739235,1158298,1580937,0.4228545561078184,0.5771454438921816
